mapping_id,municipality_id,internal_item_id,branch_order,自治体での品目表記,category_id,分別区分正式名称,条件,前処理,例外分別先,自治体収集外,rule_status,effective_from,effective_to,source_id,出典URL,出典ページ・該当箇所,確認日,mapping_status,備考
MAP-M002-I026-01,M002,I026,1,既存category代表品目から抽出,C-M002-02,燃えないごみ,要品目別確認,刃物や割れ物を包み危険表示・家電コードを切る,各専用区分,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I027-01,M002,I027,1,既存category代表品目から抽出,C-M002-17,電池類・蛍光管,要品目別確認,蛍光管を保護・電池は絶縁,燃えないごみ等,FALSE,CURRENT,,,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,電池類・蛍光管,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I029-01,M002,I029,1,既存category代表品目から抽出,C-M002-18,小型充電式電池,要品目別確認,端子を絶縁,販売店等,FALSE,CURRENT,,,S-M002-04,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/2/13684.html,小型充電式電池,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I030-01,M002,I030,1,既存category代表品目から抽出,C-M002-17,電池類・蛍光管,要品目別確認,蛍光管を保護・電池は絶縁,燃えないごみ等,FALSE,CURRENT,,,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,電池類・蛍光管,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I031-01,M002,I031,1,既存category代表品目から抽出,C-M002-17,電池類・蛍光管,要品目別確認,蛍光管を保護・電池は絶縁,燃えないごみ等,FALSE,CURRENT,,,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,電池類・蛍光管,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I032-01,M002,I032,1,既存category代表品目から抽出,C-M002-08,アルミ缶,要品目別確認,洗ってつぶさない,燃えないごみ,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,アルミ缶,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I032-02,M002,I032,2,既存category代表品目から抽出,C-M002-09,スチール缶,要品目別確認,洗ってつぶさない,燃えないごみ,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,スチール缶,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I034-01,M002,I034,1,既存category代表品目から抽出,C-M002-02,燃えないごみ,要品目別確認,刃物や割れ物を包み危険表示・家電コードを切る,各専用区分,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I034-02,M002,I034,2,既存category代表品目から抽出,C-M002-19,使用済小型家電,投入口に入る小型家電,電池を外す,燃えないごみまたは対象外ルート,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,使用済小型家電,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I037-01,M002,I037,1,既存category代表品目から抽出,C-M002-02,燃えないごみ,要品目別確認,刃物や割れ物を包み危険表示・家電コードを切る,各専用区分,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I037-02,M002,I037,2,既存category代表品目から抽出,C-M002-16,粗大ごみ,指定袋を結べない・はみ出す,材質ごとに分別,直接搬入または許可業者,FALSE,CURRENT,,,S-M002-02,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/9522.html,粗大ごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I037-03,M002,I037,3,既存category代表品目から抽出,C-M002-19,使用済小型家電,投入口に入る小型家電,電池を外す,燃えないごみまたは対象外ルート,FALSE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,使用済小型家電,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I037-04,M002,I037,4,既存category代表品目から抽出,C-M002-20,市で収集・処理できないもの,法定リサイクル・施設処理不可,各受入先の指示に従う,販売店・メーカー・専門業者,TRUE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,市で収集・処理できないもの,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I038-01,M002,I038,1,既存category代表品目から抽出,C-M002-16,粗大ごみ,指定袋を結べない・はみ出す,材質ごとに分別,直接搬入または許可業者,FALSE,CURRENT,,,S-M002-02,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/9522.html,粗大ごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M002-I038-02,M002,I038,2,既存category代表品目から抽出,C-M002-20,市で収集・処理できないもの,法定リサイクル・施設処理不可,各受入先の指示に従う,販売店・メーカー・専門業者,TRUE,CURRENT,,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,市で収集・処理できないもの,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I001-01,M003,I001,1,既存category代表品目から抽出,C-M003-06,PET,要品目別確認,キャップとラベルを外しすすぐ,プラスチック容器包装または燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,PET,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I002-01,M003,I002,1,既存category代表品目から抽出,C-M003-07,プラスチック容器包装,汚れが落ちる,すすいで乾かす,燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,プラスチック容器包装,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I003-01,M003,I003,1,既存category代表品目から抽出,C-M003-07,プラスチック容器包装,汚れが落ちる,すすいで乾かす,燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,プラスチック容器包装,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I006-01,M003,I006,1,既存category代表品目から抽出,C-M003-09,びん,要品目別確認,キャップを外しすすぐ,燃えないごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,びん,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I013-01,M003,I013,1,既存category代表品目から抽出,C-M003-03,新聞紙,要品目別確認,紙ひもで結ぶ,燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,新聞紙,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I014-01,M003,I014,1,既存category代表品目から抽出,C-M003-05,ダンボール,要品目別確認,紙ひもで結ぶ,雑誌・雑紙または燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,ダンボール,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I015-01,M003,I015,1,既存category代表品目から抽出,C-M003-04,雑誌・雑紙,要品目別確認,紙ひもで結ぶ,燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,雑誌・雑紙,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I016-01,M003,I016,1,既存category代表品目から抽出,C-M003-04,雑誌・雑紙,要品目別確認,紙ひもで結ぶ,燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,雑誌・雑紙,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I018-01,M003,I018,1,既存category代表品目から抽出,C-M003-01,燃えるごみ,要品目別確認,水切り・長い物を短くする,該当区分,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,燃えるごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I019-01,M003,I019,1,既存category代表品目から抽出,C-M003-04,雑誌・雑紙,要品目別確認,紙ひもで結ぶ,燃えるごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,雑誌・雑紙,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I023-01,M003,I023,1,既存category代表品目から抽出,C-M003-02,燃えないごみ,要品目別確認,割れ物を包む・電池を外す,該当区分,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,燃えないごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I027-01,M003,I027,1,既存category代表品目から抽出,C-M003-12,有害ごみ,家庭用,電池を絶縁・蛍光管を保護,販売店等,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,有害ごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I030-01,M003,I030,1,既存category代表品目から抽出,C-M003-12,有害ごみ,家庭用,電池を絶縁・蛍光管を保護,販売店等,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,有害ごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I032-01,M003,I032,1,既存category代表品目から抽出,C-M003-08,空き缶,要品目別確認,中をすすぐ,燃えないごみ,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,空き缶,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I034-01,M003,I034,1,既存category代表品目から抽出,C-M003-02,燃えないごみ,要品目別確認,割れ物を包む・電池を外す,該当区分,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,燃えないごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I036-01,M003,I036,1,既存category代表品目から抽出,C-M003-10,燃えるごみの粗大ごみ,80cm×60cm以内等,切断・ひも結束,処理業者または事前相談,FALSE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,燃えるごみの粗大ごみ,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M003-I037-01,M003,I037,1,既存category代表品目から抽出,C-M003-13,町で収集・受入できないもの,施設処理不可または一時多量,受入先の指示に従う,販売店・専門業者・許可業者,TRUE,CURRENT,,,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,町で収集・受入できないもの,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
MAP-M004-I013-01,M004,I013,1,既存category代表品目から抽出,C-M004-03,古紙（新聞・雑誌）,要品目別確認,厚さ30cm以内で結束,燃やせるごみ,FALSE,CURRENT,,,S-M004-02,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2348.html,古紙（新聞・雑誌）,2026-08-17,INITIAL_REVIEW_REQUIRED,既存の区分レベルデータから機械抽出。品目別の公式再確認前はAPP_READYにしない。
